date,ave_temp,min_temp,max_temp,motor_actual,min_forcast,max_forecast,motor_est,resid,synthetic_event,synthetic_event_type
2020-02-06,1.3,-3.16,5.45,55.2,-1.93,4.75,50.72,4.480000000000004,0,
2020-02-07,2.38,-2.11,7.0,51.61,-1.55,5.7,47.82,3.789999999999999,0,
2020-02-08,7.61,6.15,11.22,52.18,6.27,9.27,49.99,2.1899999999999977,0,
2020-02-09,-0.39,-4.14,7.14,54.03,-5.81,5.16,51.15,2.8800000000000026,0,
2020-02-10,5.87,1.7,9.42,50.5,1.6,8.77,52.54,-2.039999999999999,0,
2020-02-11,8.83,4.6,13.36,49.51,2.72,14.09,52.54,-3.030000000000001,0,
2020-02-12,7.46,3.27,9.72,51.42,3.97,9.72,51.43,-0.009999999999998,0,
2020-02-13,5.65,2.75,11.28,50.94,1.55,10.89,51.57,-0.6300000000000026,0,
2020-02-14,5.88,1.39,11.26,48.03,0.45,10.24,49.71,-1.6799999999999995,0,
2020-02-15,1.27,-1.6,6.05,52.52,-1.9,4.36,49.95,2.5700000000000003,0,
2020-02-16,0.22,-3.01,4.86,53.64,-1.46,5.12,50.1,3.539999999999999,0,
2020-02-17,4.82,0.79,9.64,53.7,-0.27,10.03,53.37,0.3300000000000054,0,
2020-02-18,2.67,-0.01,6.69,57.34,-1.17,5.24,51.87,5.470000000000006,0,
2020-02-19,3.1,0.21,6.17,44.44,0.53,5.72,48.66,-4.219999999999999,0,
2020-02-20,8.92,3.54,14.81,52.69,4.97,13.81,53.4,-0.7100000000000009,0,
2020-02-21,1.29,-2.44,5.53,47.96,-3.07,6.08,50.61,-2.6499999999999986,0,
2020-02-22,0.95,-3.01,8.27,43.82,-2.31,7.49,50.73,-6.909999999999997,0,
2020-02-23,1.34,-2.0,7.61,52.36,-2.42,6.95,52.67,-0.3100000000000023,0,
2020-02-24,1.5,-4.98,5.74,52.28,-5.52,5.13,52.73,-0.4499999999999957,0,
2020-02-25,3.31,-0.14,7.7,58.94,0.41,8.04,53.34,5.599999999999994,0,
2020-02-26,0.61,-1.26,3.66,52.4,-1.18,4.26,50.06,2.3399999999999963,0,
2020-02-27,5.16,1.83,8.52,48.04,2.71,9.53,51.83,-3.789999999999999,0,
2020-02-28,0.99,-4.19,6.05,59.0,-3.66,6.26,52.14,6.859999999999999,0,
2020-02-29,1.48,-3.93,5.32,57.55,-4.07,4.83,53.03,4.519999999999996,0,
2020-03-01,11.66,9.33,17.34,55.88,10.03,17.05,53.72,2.160000000000004,0,
2020-03-02,5.49,2.28,9.7,51.74,2.79,8.65,52.57,-0.8299999999999983,0,
2020-03-03,8.09,3.11,12.91,48.24,3.32,11.96,51.79,-3.549999999999997,0,
2020-03-04,9.69,7.08,12.95,50.62,7.93,12.82,51.99,-1.3700000000000043,0,
2020-03-05,12.89,9.03,17.82,60.01,9.69,16.79,55.98,4.030000000000001,0,
2020-03-06,10.39,6.1,17.35,63.67,5.77,19.57,56.7,6.969999999999999,0,
2020-03-07,4.11,1.29,10.17,58.98,0.71,8.99,53.27,5.709999999999994,0,
2020-03-08,7.51,1.64,14.54,53.81,0.59,15.33,55.61,-1.7999999999999972,0,
2020-03-09,5.28,-1.23,12.83,50.17,-1.39,11.76,54.31,-4.140000000000001,0,
2020-03-10,3.4,-1.36,6.53,52.34,-1.15,5.34,51.82,0.5200000000000031,0,
2020-03-11,11.6,7.91,18.12,49.36,10.16,18.53,55.91,-6.549999999999997,0,
2020-03-12,8.32,5.65,14.64,58.32,3.4,14.03,57.13,1.1899999999999975,0,
2020-03-13,10.76,6.52,15.12,54.33,5.66,15.62,54.87,-0.5399999999999991,0,
2020-03-14,3.04,-1.93,6.26,53.73,-2.63,4.9,55.45,-1.720000000000006,0,
2020-03-15,1.39,-4.78,3.84,42.78,-2.63,3.81,48.68,-5.899999999999999,0,
2020-03-16,-2.08,-5.97,3.92,55.99,-5.69,3.0,54.08,1.910000000000004,0,
2020-03-17,5.87,-0.25,12.56,52.74,0.16,14.63,54.71,-1.9699999999999989,0,
2020-03-18,-0.83,-4.24,4.57,48.49,-2.84,4.72,52.81,-4.32,0,
2020-03-19,-3.86,-8.5,3.45,45.12,-10.06,2.4,53.12,-8.0,0,
2020-03-20,6.68,4.56,8.84,51.5,3.71,6.71,51.6,-0.1000000000000014,0,
2020-03-21,14.95,11.45,18.29,62.78,10.63,18.61,56.23,6.550000000000004,0,
2020-03-22,10.49,7.8,16.88,63.05,9.09,16.94,56.91,6.140000000000001,0,
2020-03-23,2.59,-3.73,8.29,54.88,-4.33,7.14,56.57,-1.6899999999999975,0,
2020-03-24,12.16,5.86,15.46,53.04,7.32,15.8,55.27,-2.230000000000004,0,
2020-03-25,10.18,7.28,12.74,56.43,7.77,13.39,54.7,1.7299999999999969,0,
2020-03-26,5.21,2.7,10.34,51.05,3.81,10.34,54.74,-3.690000000000005,0,
2020-03-27,3.88,-1.69,7.33,57.23,-1.6,8.0,56.11,1.1199999999999974,0,
2020-03-28,4.33,0.49,10.43,58.94,0.01,9.21,56.11,2.8299999999999983,0,
2020-03-29,9.55,3.02,15.83,60.39,1.79,13.91,55.85,4.539999999999999,0,
2020-03-30,6.58,4.05,13.16,56.95,4.79,12.88,57.32,-0.3699999999999974,0,
2020-03-31,6.77,-0.97,14.43,55.84,-0.96,16.25,56.6,-0.759999999999998,0,
2020-04-01,12.14,5.5,19.03,55.88,5.52,18.97,59.12,-3.239999999999995,0,
2020-04-02,15.09,10.09,20.55,54.19,10.52,20.45,57.25,-3.0600000000000023,0,
2020-04-03,20.23,18.62,24.63,58.29,18.66,25.3,59.13,-0.8400000000000034,0,
2020-04-04,15.48,8.65,19.23,58.92,9.0,19.85,57.56,1.3599999999999994,0,
2020-04-05,14.37,10.71,21.65,60.18,11.71,20.93,56.8,3.3800000000000026,0,
2020-04-06,12.69,4.95,20.98,56.07,5.06,21.36,59.04,-2.969999999999999,0,
2020-04-07,16.73,13.3,23.09,65.52,12.06,22.28,60.0,5.519999999999996,0,
2020-04-08,12.04,6.92,17.06,57.34,5.62,17.34,58.34,-1.0,0,
2020-04-09,15.21,8.87,17.42,58.07,8.49,16.51,58.15,-0.0799999999999983,0,
2020-04-10,16.72,8.06,24.86,54.98,8.51,22.4,57.75,-2.770000000000003,0,
2020-04-11,15.24,11.37,23.33,51.47,13.84,22.94,59.47,-8.0,0,
2020-04-12,14.51,8.44,21.43,62.42,9.71,22.35,59.15,3.270000000000003,0,
2020-04-13,16.44,9.46,21.98,61.29,10.39,22.58,58.66,2.6300000000000026,0,
2020-04-14,16.89,10.23,23.78,59.1,10.28,23.37,60.14,-1.0399999999999991,0,
2020-04-15,11.89,7.59,16.24,60.17,6.23,16.09,59.79,0.3800000000000025,0,
2020-04-16,13.35,6.08,19.67,64.76,6.47,18.61,62.57,2.190000000000005,0,
2020-04-17,13.75,9.96,22.43,55.32,8.3,22.28,60.98,-5.659999999999997,0,
2020-04-18,15.22,11.94,18.97,59.08,11.94,21.01,60.66,-1.5799999999999983,0,
2020-04-19,16.29,14.68,19.88,64.89,14.97,19.88,60.65,4.240000000000002,0,
2020-04-20,13.65,11.26,15.72,53.48,9.98,15.74,57.1,-3.620000000000005,0,
2020-04-21,16.46,9.09,22.25,63.05,9.13,22.61,60.93,2.119999999999997,0,
2020-04-22,16.91,14.34,18.92,56.18,14.69,17.69,61.0,-4.82,0,
2020-04-23,13.14,8.17,22.16,66.72,8.22,22.2,65.06,1.6599999999999966,0,
2020-04-24,20.53,14.06,24.94,63.01,11.65,25.27,61.78,1.2299999999999969,0,
2020-04-25,12.45,8.15,19.63,57.07,6.24,18.74,61.66,-4.589999999999996,0,
2020-04-26,19.38,14.79,24.11,68.53,14.17,25.79,62.27,6.259999999999998,0,
2020-04-27,15.18,11.83,21.03,57.79,11.98,19.51,60.14,-2.3500000000000014,0,
2020-04-28,14.34,9.69,18.52,60.88,9.57,19.16,63.13,-2.25,0,
2020-04-29,16.71,9.68,21.31,63.4,10.24,21.88,63.05,0.3500000000000014,0,
2020-04-30,15.25,8.48,20.89,68.15,7.81,21.11,63.16,4.990000000000009,0,
2020-05-01,18.11,13.92,22.6,59.67,14.99,21.94,61.36,-1.6899999999999975,0,
2020-05-02,15.35,9.48,20.47,65.39,9.18,20.95,64.35,1.0400000000000065,0,
2020-05-03,18.04,13.9,24.2,64.72,13.77,23.43,61.2,3.519999999999996,0,
2020-05-04,16.8,10.56,23.45,67.75,10.27,23.22,63.96,3.789999999999999,0,
2020-05-05,21.33,17.01,25.4,69.6,16.43,25.94,67.15,2.4499999999999886,0,
2020-05-06,14.29,9.75,20.29,60.41,8.17,21.92,61.36,-0.9500000000000028,0,
2020-05-07,20.8,16.59,24.46,61.77,20.44,23.44,63.1,-1.3299999999999983,0,
2020-05-08,19.82,12.39,23.04,62.55,12.32,22.8,63.66,-1.1099999999999994,0,
2020-05-09,17.47,15.11,22.79,60.88,15.99,22.1,63.24,-2.3599999999999994,0,
2020-05-10,13.64,7.25,19.03,52.74,6.42,19.95,60.64,-7.899999999999999,0,
2020-05-11,20.89,16.23,27.2,70.02,14.72,26.46,65.07,4.950000000000003,0,
2020-05-12,12.15,7.36,18.1,67.87,6.21,16.99,61.57,6.300000000000004,0,
2020-05-13,15.07,10.4,19.72,59.09,9.98,20.32,64.39,-5.299999999999997,0,
2020-05-14,18.13,13.54,24.12,63.65,15.2,22.52,63.34,0.3099999999999951,0,
2020-05-15,17.81,15.47,22.63,70.55,16.49,22.13,67.08,3.469999999999999,0,
2020-05-16,18.76,14.71,25.14,76.24,15.23,25.21,64.06,12.179999999999993,0,
2020-05-17,18.37,12.58,22.98,68.05,12.07,22.92,64.3,3.75,0,
2020-05-18,21.38,15.36,29.3,66.98,16.35,29.28,67.38,-0.3999999999999915,0,
2020-05-19,16.54,9.3,23.13,66.52,10.02,24.71,63.05,3.469999999999999,0,
2020-05-20,19.68,12.8,24.51,72.11,13.07,24.15,65.73,6.379999999999996,0,
2020-05-21,18.99,13.11,25.26,68.55,12.64,25.4,67.69,-0.6400000000000006,0,
2020-05-22,14.41,7.99,20.03,63.550000000000004,7.63,20.33,62.29,-0.8399999999999963,0,
2020-05-23,13.47,7.05,19.24,68.14,8.32,19.14,64.93,0.5099999999999909,0,
2020-05-24,20.32,14.29,22.08,67.31,13.48,21.69,65.89,-1.8799999999999957,0,
2020-05-25,18.34,16.11,23.7,76.72,16.03,23.2,67.4,5.419999999999988,0,
2020-05-26,18.26,12.3,22.1,77.3,12.36,22.24,63.85,8.949999999999996,0,
2020-05-27,14.48,9.63,19.82,90.61880340576171,9.46,21.02,63.42,22.098803405761718,0,
2020-05-28,19.63,15.71,23.36,85.68,15.83,24.47,67.17,18.510000000000005,1,residual_spike_with_precursor
2020-05-29,17.83,13.23,25.91,66.25,13.58,26.05,67.33,-1.0799999999999983,0,
2020-05-30,11.6,9.67,16.25,59.85,10.88,14.38,65.64,-5.789999999999999,0,
2020-05-31,11.92,9.31,17.58,69.36,9.92,19.07,66.09,3.269999999999996,0,
2020-06-01,29.18,27.1,35.77,68.27,26.27,36.94,68.56,-0.2900000000000062,0,
2020-06-02,22.0,17.16,29.02,67.68,14.69,28.28,68.34,-0.6599999999999966,0,
2020-06-03,22.72,20.68,28.65,76.74,21.17,29.96,68.74,8.0,0,
2020-06-04,27.32,21.94,34.49,69.36,21.25,34.24,68.25,1.1099999999999994,0,
2020-06-05,24.31,21.9,30.51,68.88,21.69,31.29,71.67,-2.7900000000000063,0,
2020-06-06,24.59,19.68,30.51,67.89,19.16,29.03,69.46,-1.5699999999999932,0,
2020-06-07,23.84,21.45,27.46,70.95,21.82,27.25,66.7,4.25,0,
2020-06-08,22.44,17.45,26.85,69.61,17.99,25.77,69.19,0.4200000000000017,0,
2020-06-09,19.05,13.66,23.69,60.8,15.69,23.66,66.13,-5.329999999999998,0,
2020-06-10,19.89,16.5,25.47,72.8,16.29,26.1,69.4,3.3999999999999915,0,
2020-06-11,25.73,18.85,29.92,68.25,18.27,29.3,70.72,-2.469999999999999,0,
2020-06-12,24.03,17.75,29.44,74.7,16.71,29.03,67.77,6.930000000000007,0,
2020-06-13,22.1,16.36,26.66,74.01,16.34,26.11,70.01,4.0,0,
2020-06-14,22.55,18.86,25.97,67.68,17.47,26.84,69.34,-1.6599999999999966,0,
2020-06-15,22.13,16.41,29.22,75.21,15.44,27.68,70.47,4.739999999999995,0,
2020-06-16,24.75,19.64,29.78,72.64,20.35,30.57,72.39,0.25,0,
2020-06-17,25.01,21.19,30.66,72.7,21.16,30.31,69.54,3.1599999999999966,0,
2020-06-18,22.94,16.67,28.1,69.91,15.13,27.72,68.11,1.7999999999999972,0,
2020-06-19,22.53,17.63,30.16,65.36,17.38,31.22,68.49,-3.1299999999999955,0,
2020-06-20,26.44,21.19,31.81,66.67,21.39,32.31,69.05,-2.3799999999999955,0,
2020-06-21,24.49,17.72,30.73,73.66,18.98,30.25,69.85,3.8100000000000014,0,
2020-06-22,28.24,23.14,35.65,70.49,24.4,34.59,71.72,-1.230000000000004,0,
2020-06-23,24.6,22.05,30.2,69.32,23.35,30.79,70.81,-1.490000000000009,0,
2020-06-24,24.78,18.78,31.9,68.19,17.68,32.19,71.73,-3.5400000000000063,0,
2020-06-25,22.25,16.99,26.87,71.19,17.62,27.18,69.63,1.5600000000000025,0,
2020-06-26,19.97,14.36,26.59,79.35,14.45,27.23,71.72,7.6299999999999955,0,
2020-06-27,24.08,18.78,30.79,66.17,19.43,30.57,70.12,-3.950000000000003,0,
2020-06-28,23.17,16.52,26.73,73.84,16.63,25.96,73.75,0.0900000000000034,0,
2020-06-29,21.97,16.57,23.46,75.36,16.86,24.05,70.13,5.230000000000004,0,
2020-06-30,25.68,20.43,32.59,69.5,20.15,32.73,69.8,-0.2999999999999971,0,
2020-07-01,27.83,23.05,31.66,71.12,24.82,31.1,69.45,1.6700000000000017,0,
2020-07-02,26.58,22.07,29.94,67.57,22.08,28.23,71.5,-3.930000000000007,0,
2020-07-03,28.54,27.53,29.54,72.36,26.99,29.99,70.77,1.5900000000000034,0,
2020-07-04,26.62,24.0,29.75,71.39,22.14,28.96,72.08,-0.6899999999999977,0,
2020-07-05,24.6,22.58,26.89,74.88,23.5,26.87,71.23,3.649999999999992,0,
2020-07-06,24.25,22.43,26.85,74.85,22.44,26.16,70.46,4.390000000000001,0,
2020-07-07,27.7,26.76,28.65,77.84,25.98,28.98,69.84,8.0,0,
2020-07-08,29.03,27.73,34.48,72.13,27.17,33.72,69.99,2.140000000000001,0,
2020-07-09,24.94,22.86,27.92,71.42,23.4,28.21,70.22,1.2000000000000028,0,
2020-07-10,24.72,21.35,25.56,72.36,21.35,26.67,71.64,0.7199999999999989,0,
2020-07-11,27.75,25.35,29.08,70.23,24.68,30.05,71.54,-1.3100000000000025,0,
2020-07-12,28.23,25.34,31.66,71.09,24.59,30.83,69.83,1.2600000000000051,0,
2020-07-13,25.73,21.23,30.06,70.39,23.29,29.84,71.49,-1.0999999999999943,0,
2020-07-14,28.11,23.88,31.49,72.81,24.38,31.17,72.18,0.6299999999999955,0,
2020-07-15,26.52,23.28,28.78,74.72,23.65,30.23,69.84,4.879999999999996,0,
2020-07-16,25.72,23.49,26.18,67.27,23.66,26.98,71.0,-3.730000000000004,0,
2020-07-17,26.62,23.2,30.06,75.74,24.23,29.46,71.52,4.219999999999999,0,
2020-07-18,26.34,24.37,30.04,74.73,22.6,29.35,69.86,4.8700000000000045,0,
2020-07-19,28.16,23.88,32.09,71.91,23.37,32.82,72.35,-0.4399999999999977,0,
2020-07-20,24.75,20.71,27.8,63.95,22.03,26.93,71.8,-7.849999999999994,0,
2020-07-21,27.95,25.87,28.69,70.76,26.43,29.43,73.01,-2.25,0,
2020-07-22,28.84,28.5,32.18,78.61,28.53,32.87,73.81,4.799999999999997,0,
2020-07-23,24.31,22.49,28.56,69.16,23.26,29.03,69.25,-0.0900000000000034,0,
2020-07-24,25.0,23.96,28.65,66.31,23.93,29.51,70.01,-3.700000000000003,0,
2020-07-25,27.66,24.22,28.64,70.17,25.09,29.17,72.04,-1.8700000000000043,0,
2020-07-26,28.25,26.99,29.78,75.57,26.58,29.58,72.46,3.1099999999999994,0,
2020-07-27,25.27,23.17,25.57,73.54,21.65,24.65,71.51,2.030000000000001,0,
2020-07-28,27.8,23.64,30.72,76.48,23.37,28.05,77.37,-0.8900000000000006,0,
2020-07-29,25.07,22.03,26.44,70.3,22.24,25.94,71.66,-1.3599999999999994,0,
2020-07-30,29.1,28.5,34.68,72.92,29.82,34.78,74.37,-1.4500000000000028,0,
2020-07-31,27.57,24.65,30.48,69.63,25.61,32.65,73.05,-3.4200000000000017,0,
2020-08-01,28.69,25.43,31.11,78.67,25.29,31.09,72.69,5.980000000000004,0,
2020-08-02,27.53,24.15,31.81,70.13,25.05,30.85,71.32,-1.1899999999999975,0,
2020-08-03,30.71,27.54,33.79,77.88,26.67,33.13,73.38,4.5,0,
2020-08-04,29.4,26.77,32.15,76.39,28.28,33.22,70.77,5.6200000000000045,0,
2020-08-05,29.59,26.02,33.87,75.49,26.3,34.43,71.79,3.6999999999999886,0,
2020-08-06,26.29,21.6,31.46,69.16,20.57,31.9,70.76,-1.6000000000000083,0,
2020-08-07,29.67,24.73,33.98,73.61,24.43,33.7,72.11,1.5,0,
2020-08-08,29.64,26.67,33.08,75.35,26.69,32.56,75.44,-0.0900000000000034,0,
2020-08-09,30.77,25.87,36.34,66.26,25.03,36.4,69.6,-3.339999999999989,0,
2020-08-10,27.86,23.72,33.04,73.97,23.39,33.05,72.77,1.2000000000000028,0,
2020-08-11,30.99,26.41,33.63,65.07,29.05,33.93,69.43,-4.360000000000014,0,
2020-08-12,29.38,26.3,33.49,75.56,26.52,33.37,71.17,4.390000000000001,0,
2020-08-13,28.82,25.8,33.38,71.72,25.24,33.69,73.44,-1.7199999999999989,0,
2020-08-14,28.94,24.32,33.88,72.56,24.34,34.51,71.81,0.75,0,
2020-08-15,31.82,30.11,36.93,72.0,30.44,36.33,70.96,1.0400000000000065,0,
2020-08-16,28.06,23.37,32.64,69.33,25.24,33.31,70.28,-0.9500000000000028,0,
2020-08-17,29.67,26.8,34.22,74.99,27.32,34.06,72.82,2.1700000000000017,0,
2020-08-18,29.28,26.08,34.13,68.84,24.75,34.58,70.6,-1.759999999999991,0,
2020-08-19,30.89,28.46,34.11,75.29,29.12,33.84,72.06,3.230000000000004,0,
2020-08-20,31.78,29.99,35.65,67.14,29.65,35.78,72.12,-4.980000000000004,0,
2020-08-21,30.91,26.18,33.87,70.86,24.99,35.06,70.39,0.4699999999999988,0,
2020-08-22,29.86,27.77,33.67,81.87,29.29,34.5,74.7,7.170000000000002,0,
2020-08-23,28.47,22.87,33.62,68.31,22.46,33.9,72.01,-3.700000000000003,0,
2020-08-24,27.9,25.23,31.86,65.36,24.65,30.7,67.87,-2.510000000000005,0,
2020-08-25,29.24,27.53,33.25,73.4,27.77,33.22,71.5,1.9000000000000057,0,
2020-08-26,31.09,28.64,34.9,71.08,27.5,35.05,70.45,0.6299999999999955,0,
2020-08-27,26.46,22.2,31.71,72.14,23.12,31.47,71.77,0.3700000000000045,0,
2020-08-28,29.94,25.87,34.01,72.08,26.1,34.3,69.76,2.319999999999993,0,
2020-08-29,29.79,27.41,33.79,72.38,27.95,33.67,70.81,1.5699999999999932,0,
2020-08-30,29.84,28.38,34.92,75.54,29.27,35.15,71.96,3.5800000000000125,0,
2020-08-31,28.73,24.66,33.18,73.45,26.18,34.57,71.83,1.6200000000000043,0,
2020-09-01,25.77,20.87,31.21,67.63,19.68,31.06,68.13,-0.5,0,
2020-09-02,22.55,19.1,24.68,70.36,20.63,25.94,68.16,2.200000000000003,0,
2020-09-03,24.18,21.61,29.52,76.18,21.45,28.9,68.9,7.280000000000001,0,
2020-09-04,22.06,17.85,27.95,68.57,18.43,29.08,68.05,0.519999999999996,0,
2020-09-05,20.31,17.63,25.91,68.88,18.91,25.7,71.3,-2.4200000000000017,0,
2020-09-06,24.01,19.72,28.6,75.3,19.67,28.69,69.62,5.679999999999993,0,
2020-09-07,24.31,20.23,29.13,68.89,20.5,29.07,67.15,1.7399999999999949,0,
2020-09-08,21.98,18.37,27.52,63.44,18.63,27.21,70.01,-6.570000000000007,0,
2020-09-09,23.94,19.98,29.16,75.87,20.46,29.0,72.04,3.8299999999999983,0,
2020-09-10,26.1,25.03,27.52,69.98,24.91,28.56,70.31,-0.3299999999999983,0,
2020-09-11,20.22,16.98,25.33,66.71,19.48,26.34,65.63,1.0799999999999983,0,
2020-09-12,25.17,20.52,30.11,70.74,20.8,29.26,67.98,2.759999999999991,0,
2020-09-13,23.91,19.37,28.47,72.21,20.6,27.67,70.17,2.039999999999992,0,
2020-09-14,24.25,19.65,28.98,70.23,20.41,29.12,67.21,3.0200000000000102,0,
2020-09-15,22.3,18.43,27.48,67.3,18.83,26.27,68.56,-1.2600000000000051,0,
2020-09-16,29.17,25.66,34.61,73.7,23.94,34.68,70.49,3.210000000000008,0,
2020-09-17,26.3,25.55,28.21,67.47,24.88,27.94,66.8,0.6700000000000017,0,
2020-09-18,19.27,15.35,20.74,69.74,13.14,20.92,66.13,3.61,0,
2020-09-19,29.14,25.86,33.88,68.38,26.02,32.71,64.02,4.359999999999999,0,
2020-09-20,28.24,24.14,29.99,66.87,24.54,29.7,66.4,0.4699999999999988,0,
2020-09-21,20.77,12.98,25.19,69.98,13.58,26.65,66.03,3.950000000000003,0,
2020-09-22,26.91,22.24,30.81,66.47,23.57,30.88,65.91,0.5600000000000023,0,
2020-09-23,28.92,21.79,33.51,75.35,20.66,34.11,70.45,4.899999999999992,0,
2020-09-24,28.19,23.95,30.14,69.28,24.63,32.38,65.34,3.9399999999999977,0,
2020-09-25,23.32,19.54,27.55,74.6,18.73,26.94,66.14,8.459999999999994,0,
2020-09-26,20.39,15.75,25.65,67.61,13.98,25.25,66.37,1.2399999999999949,0,
2020-09-27,26.38,21.47,28.22,70.01,22.02,28.14,68.82,1.190000000000012,0,
2020-09-28,28.29,27.83,34.21,67.93,29.53,35.19,65.96,1.970000000000013,0,
2020-09-29,23.0,22.48,24.54,67.24,21.95,24.95,67.77,-0.5300000000000011,0,
2020-09-30,27.3,25.5,31.9,72.55,26.3,29.46,67.3,5.25,0,
2020-10-01,16.28,14.78,22.2,58.48,15.41,22.6,63.62,-5.140000000000001,0,
2020-10-02,18.09,14.8,24.97,65.8,14.93,24.22,66.06,-0.2600000000000051,0,
2020-10-03,18.11,11.92,20.34,62.3,12.13,20.76,64.41,-3.61,0,
2020-10-04,17.63,12.83,22.97,73.66,12.34,24.75,63.69,7.870000000000003,0,
2020-10-05,18.71,15.87,25.08,77.84,14.96,24.07,65.17,9.97,0,
2020-10-06,14.44,10.04,17.32,87.91825942993164,11.24,15.53,62.64,21.97825942993164,0,
2020-10-07,11.66,9.82,14.71,66.33,10.99,14.77,62.93,-0.5,0,
2020-10-08,16.15,11.13,21.13,72.26,11.79,21.98,64.66,3.1000000000000085,0,
2020-10-09,12.62,7.79,14.55,79.11,8.5,13.58,64.6,9.41000000000001,0,
2020-10-10,18.35,15.68,21.95,75.12,16.06,21.49,61.96,13.160000000000004,1,residual_spike_with_precursor
2020-10-11,14.26,8.19,17.34,66.49,9.29,16.91,65.61,0.8799999999999955,0,
2020-10-12,14.85,9.71,21.36,63.82,10.62,22.01,60.21,3.61,0,
2020-10-13,14.86,9.91,17.72,63.96,10.8,19.12,62.1,1.8599999999999997,0,
2020-10-14,18.82,14.62,24.22,65.17,14.28,25.59,64.47,0.7000000000000028,0,
2020-10-15,14.79,10.5,19.89,66.65,11.26,19.15,62.95,3.700000000000003,0,
2020-10-16,14.71,9.35,20.26,53.43,9.72,20.31,61.43,-8.0,0,
2020-10-17,16.93,13.97,18.65,64.38,13.74,18.12,61.88,2.499999999999993,0,
2020-10-18,18.52,12.48,23.18,59.51,12.3,23.21,61.93,-2.4200000000000017,0,
2020-10-19,15.59,10.61,20.57,54.41,11.21,19.55,61.19,-6.780000000000001,0,
2020-10-20,17.08,11.22,19.85,64.92,12.08,20.26,63.03,1.8900000000000008,0,
